idrec,OBJECTID,BAIRRO,KM2,homicidios,teste,roubo_veiculo,roubo_patrimonio,pop2000,pop2010,dens2010m2,gini,p_pobre,p_desocup,p_alf,p_ens_sup,p_mulherchefe15_25,p_mulher_chefe,pjovem15_18,pjovem15_25,pjovem13_25,pjovem18_25,rdb,km2,centro,preco_imovel
93,449,BARRO,4.5762959,21,1,228,395,31111,31847,6.9591198,.474197,.193496,17.1982,75.108498,.040025,5.8655,34.971901,7.9779,20.3722,24.4062,14.4161,16247.399,4.5763001,0,.74676853
52,408,BEBERIBE,.49404129,12,0,49,268,8629,8856,17.9256,.430163,.13934401,12.4317,75.640297,.01867,5.5928001,40.7104,8.3787003,22.2969,26.2139,16.247499,12458.76,.494041,0,2.1276114
91,447,BOA VIAGEM,7.6005001,65,1,1559,6028,100388,122922,16.172899,.46707201,.050756,4.6760001,89.350304,.456146,5.3797002,36.830502,7.7041001,21.7048,24.934299,16.134399,85296,7.6005001,0,.7356506
39,395,BOA VISTA,1.7390413,5,0,146,3105,14033,14778,8.4977903,.49686599,.044953,4.4544001,92.645897,.42296699,5.3762999,51.307701,6.7911,21.0005,23.694201,16.361401,43421.398,1.73904,1,.97209668
64,420,BOMBA DO HEMETERIO,.43647164,15,0,31,119,8643,8472,19.4102,.41758701,.130658,9.9392996,75.332603,.017732,3.4714,41.670601,7.9601998,21.5434,25.535101,15.6311,16158.601,.436472,0,1.094831
20,376,BONGI,.60071117,15,0,97,167,8211,8097,13.479,.56774497,.173397,16.009501,77.103897,.07886,4.3580999,40.3325,8.5739002,22.8109,26.513201,16.5023,22331.76,.60071099,0,.77259523
75,431,BRASILIA TEIMOSA,.57347202,21,0,8,109,19155,18334,31.9702,.45087799,.1503,12.5698,74.816002,.01902,5.4422002,39.507999,8.3894997,22.589399,26.6353,16.4135,14649.721,.57347202,0,.43779698
26,382,BREJO DA GUABIRABA,.7036671,13,0,8,87,11362,11732,16.672701,.38488799,.122833,8.1889,70.066902,.0025820001,6.1245999,34.931801,9.2236996,24.2211,28.8242,17.3825,12451.92,.70366699,0,4.4504271
31,387,BREJO DO BEBERIBE,.65618521,11,0,2,119,5813,8292,12.6367,.45812401,.15558501,14.7606,76.931,.007979,3.2258,28.8564,8.3950005,21.8304,26.113899,15.8954,12700.439,.65618497,0,5.5678
74,430,CABANGA,.6461587,4,0,12,151,1536,1551,2.4003401,.54981399,.13605399,9.9772997,84.7005,.115646,3.9800999,45.578201,8.724,22.135401,25.7813,16.0807,23832.959,.64615899,0,.76414329
71,427,CACOTE,.44883707,14,1,9,28,8427,10470,23.327,.41510901,.206167,16.0147,69.93,.007363,6.7701001,32.627701,8.2236004,21.1938,25.311501,15.1062,13327.32,.44883701,0,.46954083
46,402,CAJUEIRO,.61662388,6,0,78,186,6746,6584,10.6775,.54173601,.080730997,6.7767,85.799004,.144962,1.7323,37.418999,7.5749002,21.004999,24.2959,15.461,33326.039,.616624,0,1.5068178
44,400,CAMPINA DO BARRETO,.52893209,23,0,14,89,8335,9484,17.9305,.48865801,.18370201,14.602,75.632896,.032030001,4.0380001,39.6609,7.8583999,22.387501,26.4667,16.508699,13065.601,.52893198,0,1.2275251
53,409,CAMPO GRANDE,2.2250638,50,0,224,921,31241,32149,14.4486,.55193102,.150049,12.4383,78.441803,.123766,4.0816002,38.696899,8.2872,21.475,25.3097,15.3868,25584,2.22506,0,.89225793
6,362,CASA AMARELA,1.8934069,19,0,422,1590,25543,29180,15.4114,.55919403,.068236999,6.2988,86.485497,.220457,2.6373999,38.728901,7.4189,20.118999,23.4154,14.7203,50840.281,1.89341,0,1.3634251
7,363,CASA FORTE,.55789733,2,0,171,686,4475,6750,12.099,.40162799,.011173,.79809999,93.027901,.61133301,2.9679999,34.9561,7.3520002,21.541901,24.692699,15.9106,135827.64,.55789697,0,1.4148167
54,410,CAXANGA,2.4873476,5,0,109,446,6667,9634,3.8731999,.49629799,.180491,15.8879,75.116203,.11507,5.4645,32.067799,7.8745999,19.754,24.223801,13.7393,26775.84,2.48735,0,2.0441866
89,445,COELHOS,.35802647,10,0,12,145,6826,7633,21.3197,.47151399,.25080901,21.4671,69.528297,.030743999,6.5321002,45.415298,8.9217997,22.502199,27.263399,16.041599,10780.92,.35802701,0,1.3257787
